左侧粗隆间骨折,疾病-症状,呕吐,0.008
左侧粗隆间骨折,疾病-症状,骨折,0.018
左侧粗隆间骨折,疾病-症状,外旋内收畸形,1.0
左侧粗隆间骨折,疾病-症状,疼痛,0.008
左侧粗隆间骨折,疾病-症状,心悸,0.042
左侧粗隆间骨折,疾病-症状,恶心,0.008
左侧粗隆间骨折,疾病-症状,头痛,0.013
左侧粗隆间骨折,疾病-症状,短缩畸形,1.0
左侧粗隆间骨折,疾病-症状,胸闷,0.013
左侧粗隆间骨折,疾病-症状,发热,0.01
左侧粗隆间骨折,疾病-症状,头晕,0.012
脑梗死,疾病-症状,呕吐,0.008
脑梗死,疾病-症状,骨折,0.018
脑梗死,疾病-症状,肿胀,0.013
脑梗死,疾病-症状,疼痛,0.008
脑梗死,疾病-症状,恶心,0.008
脑梗死,疾病-症状,头痛,0.013
脑梗死,疾病-症状,出血,0.027
脑梗死,疾病-症状,头晕,0.012
肝炎,疾病-症状,呕吐,0.008
肝炎,疾病-症状,骨折,0.018
肝炎,疾病-症状,肿胀,0.013
肝炎,疾病-症状,疼痛,0.008
肝炎,疾病-症状,恶心,0.008
肝炎,疾病-症状,头痛,0.013
肝炎,疾病-症状,出血,0.027
肝炎,疾病-症状,头晕,0.012
高血压,疾病-症状,呕吐,0.008
高血压,疾病-症状,骨折,0.018
高血压,疾病-症状,肿胀,0.013
高血压,疾病-症状,疼痛,0.008
高血压,疾病-症状,恶心,0.008
高血压,疾病-症状,头痛,0.013
高血压,疾病-症状,出血,0.027
高血压,疾病-症状,头晕,0.012
腔隙性脑梗死,疾病-症状,呕吐,0.008
腔隙性脑梗死,疾病-症状,骨折,0.018
腔隙性脑梗死,疾病-症状,肿胀,0.013
腔隙性脑梗死,疾病-症状,疼痛,0.008
腔隙性脑梗死,疾病-症状,恶心,0.008
腔隙性脑梗死,疾病-症状,头痛,0.013
腔隙性脑梗死,疾病-症状,出血,0.027
腔隙性脑梗死,疾病-症状,头晕,0.012
心脏病,疾病-症状,呕吐,0.008
心脏病,疾病-症状,骨折,0.018
心脏病,疾病-症状,肿胀,0.013
心脏病,疾病-症状,疼痛,0.008
心脏病,疾病-症状,恶心,0.008
心脏病,疾病-症状,头痛,0.013
心脏病,疾病-症状,出血,0.027
心脏病,疾病-症状,头晕,0.012
面部外伤,疾病-症状,呕吐,0.008
面部外伤,疾病-症状,骨折,0.018
面部外伤,疾病-症状,肿胀,0.013
面部外伤,疾病-症状,疼痛,0.008
面部外伤,疾病-症状,恶心,0.008
面部外伤,疾病-症状,头痛,0.013
面部外伤,疾病-症状,出血,0.027
面部外伤,疾病-症状,头晕,0.012
鼻骨骨折,疾病-症状,呕吐,0.008
鼻骨骨折,疾病-症状,骨折,0.018
鼻骨骨折,疾病-症状,肿胀,0.013
鼻骨骨折,疾病-症状,疼痛,0.008
鼻骨骨折,疾病-症状,恶心,0.008
鼻骨骨折,疾病-症状,头痛,0.013
鼻骨骨折,疾病-症状,出血,0.027
鼻骨骨折,疾病-症状,头晕,0.012
结核病,疾病-症状,呕吐,0.008
结核病,疾病-症状,骨折,0.018
结核病,疾病-症状,肿胀,0.013
结核病,疾病-症状,疼痛,0.008
结核病,疾病-症状,恶心,0.008
结核病,疾病-症状,头痛,0.013
结核病,疾病-症状,出血,0.027
结核病,疾病-症状,头晕,0.012
左侧第2、3、4肋骨骨折,疾病-症状,律齐,0.009
左侧第2、3、4肋骨骨折,疾病-症状,畸形,0.008
左侧第2、3、4肋骨骨折,疾病-症状,异常搏动,0.067
左侧第2、3、4肋骨骨折,疾病-症状,水肿,0.015
左侧第2、3、4肋骨骨折,疾病-症状,呼吸困难,0.036
左侧第2、3、4肋骨骨折,疾病-症状,骨折,0.018
左侧第2、3、4肋骨骨折,疾病-症状,肿大,0.01
左侧第2、3、4肋骨骨折,疾病-症状,隆起,0.014
左侧第2、3、4肋骨骨折,疾病-症状,黄染,0.019
左侧第2、3、4肋骨骨折,疾病-症状,疼痛,0.008
左侧第2、3、4肋骨骨折,疾病-症状,胸痛,0.034
左侧第2、3、4肋骨骨折,疾病-症状,震颤,0.015
左侧第2、3、4肋骨骨折,疾病-症状,静脉怒张,0.067
左侧第2、3、4肋骨骨折,疾病-症状,斑丘疹,0.1
左侧第2、3、4肋骨骨折,疾病-症状,包块,0.011
左侧第2、3、4肋骨骨折,疾病-症状,充血,0.037
左侧第2、3、4肋骨骨折,疾病-症状,静脉曲张,0.013
左侧第2、3、4肋骨骨折,疾病-症状,胸闷,0.013
左侧第2、3、4肋骨骨折,疾病-症状,正大等圆,0.011
左侧第2、3、4肋骨骨折,疾病-症状,苍白,0.022
主动脉硬化,疾病-症状,律齐,0.009
主动脉硬化,疾病-症状,畸形,0.008
主动脉硬化,疾病-症状,异常搏动,0.067
主动脉硬化,疾病-症状,水肿,0.015
主动脉硬化,疾病-症状,呼吸困难,0.036
主动脉硬化,疾病-症状,骨折,0.018
主动脉硬化,疾病-症状,肿大,0.01
主动脉硬化,疾病-症状,隆起,0.014
主动脉硬化,疾病-症状,黄染,0.019
主动脉硬化,疾病-症状,疼痛,0.008
主动脉硬化,疾病-症状,胸痛,0.034
